=======产品序列号=======                                	 =======产品序名称=======                                	 被引用次数                                             
MC1301BT010011                                     	 透明自封袋11号                                           	 8                                                 
ME07010031                                         	 锤子                                                 	 1                                                 
MC0202DE000301                                     	 贴纸-锤子80*60mm                                       	 1                                                 
MC1303BF010003                                     	 飞机盒T3                                              	 12                                                
ME07010032                                         	 锯子                                                 	 2                                                 
MC1301BT010010                                     	 透明自封袋10号                                           	 17                                                
MC0202DE000268                                     	 贴纸-锯子80*60mm                                       	 1                                                 
ME07010033                                         	 木工三角尺                                              	 1                                                 
MC0202DE000269                                     	 贴纸-木工三角尺60*40mm                                    	 1                                                 
ME07010007                                         	 十字螺丝刀                                              	 4                                                 
MC0202DE000101                                     	 贴纸-十字螺丝刀                                           	 2                                                 
MC1301BT010017                                     	 透明自封袋5号                                            	 1                                                 
ME07010035                                         	 小型桌虎钳                                              	 1                                                 
MC0202DE000271                                     	 贴纸-小型桌虎钳80*60mm                                    	 1                                                 
MC08030017                                         	 一次性桌布                                              	 2                                                 
MC1301BT010008                                     	 透明自封袋8号                                            	 20                                                
MC0202DE000272                                     	 贴纸-一次性桌布80*60mm                                    	 1                                                 
MC0202DE000082                                     	 贴纸-彩色笔40*30mm横板                                    	 1                                                 
ME07020007                                         	 彩色笔12色                                             	 5                                                 
MC07010029                                         	 双面胶                                                	 2                                                 
MC0202DE000285                                     	 贴纸-双面胶80*60mm                                      	 1                                                 
MC01020011                                         	 M2螺栓                                               	 1                                                 
MC01020012                                         	 弹簧垫片                                               	 1                                                 
MC01020014                                         	 自攻螺钉                                               	 1                                                 
MC0202DE000273                                     	 贴纸-螺栓螺钉套装80*60mm                                   	 1                                                 
ME08020013                                         	 木制夹子                                               	 1                                                 
MC0202DE000256                                     	 贴纸-木制夹子80*60mm                                     	 1                                                 
MC09020001                                         	 色素                                                 	 4                                                 
MC1301BT010003                                     	 透明自封袋3号                                            	 36                                                
MC0202DE000305                                     	 贴纸-色素60*40mm                                       	 1                                                 
ME05020011                                         	 下雨云朵                                               	 2                                                 
MC0202DE000277                                     	 贴纸-下雨云朵80*60mm                                     	 1                                                 
ME03030004                                         	 手电筒                                                	 2                                                 
MC0202DE000087                                     	 贴纸-手电筒                                             	 2                                                 
ME05030013                                         	 胶枪                                                 	 5                                                 
MC05030038                                         	 胶棒（胶枪用）                                            	 6                                                 
MC0202DE000280                                     	 贴纸-胶枪与胶棒80*60mm                                    	 1                                                 
MC08020013                                         	 防水布                                                	 2                                                 
MC0202DE000278                                     	 贴纸-防水布80*60mm                                      	 1                                                 
MC07020013                                         	 防水涂料                                               	 2                                                 
MC0202DE000279                                     	 贴纸-防水涂料40*30mm                                     	 1                                                 
ME07020014                                         	 调色盘                                                	 2                                                 
MC0202DE000281                                     	 贴纸-调色盘40*30mm                                      	 1                                                 
ME07020015                                         	 刷子                                                 	 6                                                 
MC0202DE000282                                     	 贴纸-刷子80*60mm                                       	 1                                                 
ME07020017                                         	 小卷尺                                                	 3                                                 
MC0202DE000292                                     	 贴纸-小卷尺80*60mm                                      	 1                                                 
MC16010002                                         	 房屋地基                                               	 2                                                 
MC0202DE000248                                     	 贴纸-房屋地基80*60mm                                     	 1                                                 
MC09030020                                         	 塑料胶头滴管                                             	 5                                                 
MC0202DE000191                                     	 贴纸-塑料胶头滴管80*60mm                                   	 1                                                 
MC02010010                                         	 A4瓦楞纸板                                             	 9                                                 
MC0202DE000249                                     	 贴纸-A4瓦楞纸板 80*60mm                                  	 1                                                 
ME09030004                                         	 单头药匙                                               	 5                                                 
MC0202DE000196                                     	 贴纸-单头药匙 40*30mm                                    	 2                                                 
MC0202DE000250                                     	 贴纸-绒布袋80*60mm                                      	 1                                                 
ME05030053                                         	 绒布袋                                                	 1                                                 
MC0202DE000289                                     	 贴纸-建材报价单80*60mm                                    	 1                                                 
ME02040005                                         	 建材报价单                                              	 1                                                 
MC05030056                                         	 2cm背胶起毛布                                           	 1                                                 
MC05030033                                         	 橡皮筋                                                	 28                                                
MC0202DE000290                                     	 贴纸-建材采购单80*60mm                                    	 1                                                 
ME02040006                                         	 建材采购单                                              	 1                                                 
PPC09B03110001                                     	 色素3个带包装带贴纸                                         	 1                                                 
PPE05B03110001                                     	 下雨云朵3个带包装带贴纸                                       	 1                                                 
PPC08B03110001                                     	 防水布3张带包装带贴纸                                        	 2                                                 
PPC07B01210001                                     	 防水涂料带包装带贴纸                                         	 7                                                 
PPE07B01010001                                     	 调色盘无包装带贴纸                                          	 5                                                 
PPE07B10110003                                     	 刷子10个带包装带贴纸                                        	 1                                                 
MC0202DE000294                                     	 贴纸-防水测试包80*60mm                                    	 1                                                 
ME02040007                                         	 游戏纸币                                               	 1                                                 
MC1301BX010002                                     	 信封124*64*12mm                                      	 1                                                 
MC0202DE000251                                     	 贴纸-20孔L型钢片80*60mm                                  	 1                                                 
ME01020008                                         	 20孔L型钢片                                            	 1                                                 
PPE06B01110003                                     	 电子秤带包装带贴纸                                          	 17                                                
PPE07A10110004                                     	 四色长刃美工刀10把带包装带贴纸                                   	 9                                                 
PPE07A01210001                                     	 刻刀带包装带贴纸                                           	 2                                                 
PPE07A01210002                                     	 锉刀带包装带贴纸                                           	 5                                                 
PPE07A02110002                                     	 小号剪刀2把带包装带贴纸                                       	 1                                                 
PPE07A10110006                                     	 锤子10把带包装带贴纸                                        	 2                                                 
PPE07A03110001                                     	 锯子3把带包装带贴纸                                         	 2                                                 
PPC07B10110001                                     	 木工铅笔10根带包装带贴纸                                      	 1                                                 
PPE07A10110007                                     	 尖嘴钳10个带包装带贴纸                                       	 3                                                 
PPE07A10110005                                     	 十字螺丝刀10个带包装带贴纸                                     	 2                                                 
PPE07A01210004                                     	 小型桌虎钳带包装带贴纸                                        	 2                                                 
PPC08C10110002                                     	 一次性桌布10张带包装带贴纸                                     	 2                                                 
PPE07B01210003                                     	 彩色笔12色带包装带贴纸                                       	 19                                                
PPC07A02110001                                     	 双面胶2卷带包装带贴纸                                        	 7                                                 
PP031400110001                                     	 螺钉螺栓垫片1400件带包装带贴纸                                  	 3                                                 
PPE07B10110002                                     	 钢尺10把带包装带贴纸                                        	 10                                                
PPE08B20110001                                     	 木制夹子20个带包装带贴纸                                      	 2                                                 
PP060030110001                                     	 防水测试包                                              	 3                                                 
PPE03C02110001                                     	 手电筒2个带包装带贴纸                                        	 1                                                 
PP020022110001                                     	 胶枪2个与20根胶棒带包装带贴纸                                   	 1                                                 
PPE07B10110004                                     	 小卷尺10个带包装带贴纸                                       	 1                                                 
MC1304BG010005                                     	 塑料整理箱33L                                           	 4                                                 
MC0202DP0085                                       	 贴纸-建筑工具箱160*120mm                                  	 1                                                 
MC0203C2025C04                                     	 建筑系列课程-工具箱卡片                                       	 1                                                 
PPC14A01210002                                     	 钉子套装带包装带贴纸                                         	 2                                                 
MC0202DE000309                                     	 贴纸-警示贴纸60*30mm                                     	 4                                                 
MC0202DE000252                                     	 贴纸-4孔长条钢片60*40mm                                   	 1                                                 
ME01020009                                         	 4孔长条钢片                                             	 1                                                 
ME01020010                                         	 20孔双排钢片                                            	 1                                                 
MC0202DE000253                                     	 贴纸-20孔双排钢片60*40mm                                  	 1                                                 
MC1301BT010004                                     	 透明自封袋4号                                            	 17                                                
MC16010003                                         	 桐木条                                                	 4                                                 
MC1301BT010009                                     	 透明自封袋9号                                            	 14                                                
MC0202DE000254                                     	 贴纸-桐木条80*60mm                                      	 1                                                 
MC01020013                                         	 金属连接件                                              	 1                                                 
MC0202DE000257                                     	 贴纸-金属连接件40*30mm                                    	 1                                                 
MC1301BT010002                                     	 透明自封袋2号                                            	 26                                                
MC16010004                                         	 轻木条                                                	 3                                                 
MC0202DE000255                                     	 贴纸-桐木条与轻木条80*60mm                                  	 1                                                 
PP030100110001                                     	 水泥黄沙100g带包装带贴纸                                     	 5                                                 
MC0202DE000297                                     	 贴纸-水泥黄沙×5 80*60mm                                  	 1                                                 
MC16030001                                         	 红砖                                                 	 1                                                 
MC0202DE000246                                     	 贴纸-红砖正面120*80mm                                    	 1                                                 
MC0202DE000295                                     	 贴纸-红砖底面120*80mm                                    	 1                                                 
MC0202DE000259                                     	 贴纸-仿玻璃材料80*60mm                                    	 1                                                 
MC05030052                                         	 PVC塑料片（颜色随机）                                       	 8                                                 
MC0202DE000298                                     	 贴纸-A4瓦楞纸板 80*60mm                                  	 1                                                 
ME05020008                                         	 树模型                                                	 1                                                 
MC0202DE000261                                     	 贴纸-树模型80*60mm                                      	 1                                                 
ME05020009                                         	 小人模型                                               	 2                                                 
MC0202DE000262                                     	 贴纸-小人模型80*60mm                                     	 1                                                 
MC05010049                                         	 橡皮泥                                                	 2                                                 
MC0202DE000299                                     	 贴纸-橡皮泥80*60mm                                      	 1                                                 
MC05030026                                         	 珍珠棉                                                	 15                                                
MC0202DE000263                                     	 贴纸-珍珠棉80*60mm                                      	 1                                                 
ME02040004                                         	 邀请函                                                	 1                                                 
MC0202DE000286                                     	 贴纸-邀请函80*60mm                                      	 1                                                 
PPC16B05110001                                     	 水泥黄沙5瓶带包装带贴纸                                       	 1                                                 
MC09030040                                         	 100ml量杯（无盖）                                        	 3                                                 
PPC16C72210001                                     	 红砖72块带包装带贴纸                                        	 5                                                 
PPC09C10110003                                     	 塑料胶头滴管10个带包装带贴纸                                    	 2                                                 
PPE09C10110002                                     	 单头药匙10个带包装带贴纸                                      	 2                                                 
PPC05C10110001                                     	 仿玻璃材料10张带包装带贴纸                                     	 1                                                 
PPC16A20110001                                     	 桐木条20根带包装带贴纸                                       	 3                                                 
PPC02A05110001                                     	 A4瓦楞纸板5片带包装带贴纸                                     	 2                                                 
PPE05B10110001                                     	 树模型10个带包装带贴纸                                       	 3                                                 
PPE05B50110001                                     	 小人模型50个带包装带贴纸                                      	 1                                                 
PPC16A10110001                                     	 房屋地基10张带包装带贴纸                                      	 2                                                 
PPC05C50110001                                     	 雪糕棒50根带包装带贴纸                                       	 5                                                 
PPC05A20110001                                     	 橡皮泥20盒带包装带贴纸                                       	 1                                                 
PPC05C01110010                                     	 珍珠棉1个带包装带贴纸                                        	 1                                                 
PPE02D10110004                                     	 邀请函10张带包装带贴纸                                       	 1                                                 
MC0202DP0086                                       	 贴纸-奇思妙想大赛-公园凉亭HUB160*120mm                         	 1                                                 
MC0203C2025302                                     	 奇思妙想大赛-公园凉亭HUB卡片                                   	 1                                                 
PPC16A10110002                                     	 轻木板10片带包装带贴纸                                       	 3                                                 
PP040070100001                                     	 金属配件4件套带包装无贴纸                                      	 1                                                 
ME05020010                                         	 狗模型                                                	 1                                                 
MC0202DE000264                                     	 贴纸-狗模型60*40mm                                      	 1                                                 
MC0202DE000300                                     	 贴纸-瓦楞纸和地基80*60mm                                   	 1                                                 
PP020012110001                                     	 轻木条2根与桐木条10根带包装带贴纸                                 	 1                                                 
PPC01B20110001                                     	 金属连接件20个带包装带贴纸                                     	 5                                                 
PPE05B01110003                                     	 狗模型带包装带贴纸                                          	 1                                                 
PP020004110001                                     	 A4瓦楞纸3张和房屋地基1张带包装带贴纸                               	 3                                                 
PP020002110006                                     	 狗狗卡片套件带包装带贴纸                                       	 1                                                 
MC0203C2025103                                     	 Go Home Qube卡片                                     	 1                                                 
MC0202DP0087                                       	 贴纸-Go Home Qube160*120mm                           	 2                                                 
MC0202DE000296                                     	 贴纸-水泥黄沙×10 80*60mm                                 	 1                                                 
MC1301BT010016                                     	 透明自封袋10号                                           	 6                                                 
MC0202DE000307                                     	 贴纸-空白价格标签60*40                                     	 1                                                 
PP020002110007                                     	 空白价格标签和2cm背胶射出勾无包装无贴纸                              	 1                                                 
MC05030053                                         	 价格标签                                               	 1                                                 
MC05030055                                         	 2cm背胶射出勾                                           	 2                                                 
PP020002110008                                     	 价格标签和2cm背胶射出勾无包装无贴纸                                	 1                                                 
MC0202DE000306                                     	 贴纸-价格标签60*40                                       	 1                                                 
MC05030054                                         	 空白价格标签                                             	 1                                                 
PTC20251031000                                     	 Go Home Qube                                       	 1                                                 
MC0202DE000291                                     	 贴纸-游戏纸币80*60mm                                     	 1                                                 
PPE02D46100001                                     	 游戏纸币46张带包装无贴纸                                      	 1                                                 
PPC16B10110001                                     	 水泥黄沙10瓶带包装带贴纸                                      	 1                                                 
PPC02A00102011                                     	 A4瓦楞纸板20张带包装带贴纸                                    	 1                                                 
PPE05C05110002                                     	 绒布袋5个带包装带贴纸                                        	 1                                                 
PP020011110001                                     	 建材报价单和10张2cm背胶起毛布无包装带贴纸                            	 1                                                 
PPE02D10110003                                     	 建材采购单10张带包装带贴纸                                     	 1                                                 
MC0203C2025C02                                     	 疯狂建筑师-Hub卡片                                        	 1                                                 
MC0202DP0088                                       	 贴纸-疯狂建筑师Hub160*120mm                               	 1                                                 
PP020020110001                                     	 价格标签10张和2cm背胶射出勾10张带包装带贴纸                          	 1                                                 
PP020020110002                                     	 空白价格标签10张和2cm背胶射出勾10张带包装带贴纸                        	 1                                                 
PPE02D10110005                                     	 游戏纸币10份带包装带贴纸                                      	 1                                                 
PP040140100001                                     	 金属配件8件套带包装无贴纸                                      	 1                                                 
ME05010067                                         	 安全帽                                                	 1                                                 
MC0202DE000304                                     	 贴纸-云中心LOGO贴纸42*25mm                                	 1                                                 
MC0202DE000308                                     	 贴纸-安全帽安装说明50*25mm                                  	 1                                                 
PPE01B10110003                                     	 20孔双排钢片10个带包装带贴纸                                   	 4                                                 
PPE01B20110001                                     	 20孔L型钢片20个带包装带贴纸                                   	 4                                                 
PPE01B20110002                                     	 4孔长条钢片20个带包装带贴纸                                    	 4                                                 
MC1301BT010015                                     	 透明自封袋7号                                            	 4                                                 
MC1301BT010013                                     	 透明自封袋8号                                            	 4                                                 
MC0202DE000287                                     	 贴纸-狗狗卡片套件80*60mm                                   	 1                                                 
ME02040003                                         	 流浪狗卡片                                              	 1                                                 
ME02040002                                         	 狗狗信息记录卡片                                           	 1                                                 
PTC20251011000                                     	 Go Home Qube整体套件                                   	 2                                                 
PTC20252021000                                     	 疯狂建筑师Hub                                           	 2                                                 
PTC20253021000                                     	 奇思妙想大赛-公园凉亭Hub                                     	 2                                                 
PTC2025C061000                                     	 建筑工具箱                                              	 2                                                 
ME15010003                                         	 电风扇                                                	 1                                                 
MC0202DG000004                                     	 贴纸-云中心LOGO贴纸                                       	 21                                                
MC1301BC010001                                     	 长条透明自封袋50*150mm                                    	 8                                                 
ME08030001                                         	 塑料盘子                                               	 1                                                 
MC0202DE000071                                     	 贴纸-塑料盘子40*30mm                                     	 1                                                 
MC0202DE000107                                     	 贴纸-脱脂无菌纱布10片80*60mm                                	 1                                                 
MC09030038                                         	 脱脂无菌纱布                                             	 4                                                 
MC05010021                                         	 橡胶手套XS号                                            	 2                                                 
MC1301BF010001                                     	 防静电铝箔袋80*130mm                                     	 15                                                
MC0202DE000046                                     	 贴纸-橡胶手套XS号60*40mm                                  	 1                                                 
ME10010001                                         	 柱形容器                                               	 1                                                 
MC0202DE000006                                     	 贴纸-柱形容器40*30mm                                     	 1                                                 
MC1300BQ010002                                     	 气泡纸-规格不明                                           	 26                                                
MC04030002                                         	 酵母粉                                                	 2                                                 
MC1302BY010001                                     	 药品瓶15ml有盖                                          	 10                                                
MC0202DE000155                                     	 贴纸-酵母粉2g 40*30mm横板                                 	 2                                                 
ME09030018                                         	 玻璃棒20cm                                            	 4                                                 
MC0202DE000211                                     	 贴纸-玻璃棒20cm40*30mm                                  	 3                                                 
MC1301BC010004                                     	 长条透明自封袋70*250mm                                    	 12                                                
MC05030032                                         	 封口纸                                                	 1                                                 
MC0202DE000174                                     	 贴纸-封口纸（带橡皮筋）80*60mm                                	 1                                                 
MC11010018                                         	 白砂糖                                                	 11                                                
MC0202DE000219                                     	 贴纸-白砂糖20g 40*30mm横板                                	 1                                                 
MC1302BY010003                                     	 药品瓶50ml有盖                                          	 8                                                 
MC0202DE000175                                     	 热敏贴纸-封口膜                                           	 1                                                 
MC05030045                                         	 封口膜                                                	 1                                                 
MC0202DE000130                                     	 贴纸-名牌贴                                             	 1                                                 
MC05030020                                         	 名牌贴                                                	 1                                                 
MC0202DE000236                                     	 贴纸-7号电池电池盒热敏贴纸                                     	 1                                                 
MC0202DE000237                                     	 贴纸-5号电池电池盒热敏贴纸                                     	 1                                                 
MC0202DE000241                                     	 贴纸-1号电池电池盒热敏贴纸                                     	 1                                                 
ME03040010                                         	 1号电池电池盒                                            	 2                                                 
